STT,ITEM,VENDOR,DESCR,STATUS,NH
753,3543334,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),N,DD
754,3543871,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
755,3543872,11773,110-CTy CP SX Nhua Duy Tan,N,DD
760,3298487,16964,100-CTy TNHH Tan Hop Thanh,Y,DD
761,3298488,16964,100-CTy TNHH Tan Hop Thanh,Y,DD
762,3298489,16964,100-CTy TNHH Tan Hop Thanh,Y,DD
763,3300069,12989,100-CTY TNHH SAMRAN,Y,DD
764,3300070,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
765,3300071,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
774,3342477,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
775,3342479,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
776,3343026,16964,100-CTy TNHH Tan Hop Thanh,N,DD
777,3343029,16964,100-CTy TNHH Tan Hop Thanh,Y,DD
778,3343030,16964,100-CTy TNHH Tan Hop Thanh,Y,DD
779,3343031,16964,100-CTy TNHH Tan Hop Thanh,Y,DD
781,3344279,11773,110-CTy CP SX Nhua Duy Tan,N,DD
782,3344291,16964,100-CTy TNHH Tan Hop Thanh,Y,DD
783,3544249,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
784,3545124,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
787,3546388,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
788,3546389,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
789,3546390,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
790,3546391,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
791,3547498,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
792,3547499,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
793,3547500,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
