364,3521073,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,DD
365,3521074,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
398,3374925,16964,100-CTy TNHH Tan Hop Thanh,DANG KINH DOANH,DD
399,3374926,16964,100-CTy TNHH Tan Hop Thanh,DANG KINH DOANH,DD
400,3374927,16964,100-CTy TNHH Tan Hop Thanh,DANG KINH DOANH,DD
403,3480412,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
404,3480413,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,DD
405,3480422,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
409,3403272,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
410,3404154,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,DD
411,3414888,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
414,3508978,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
420,3382457,12989,100-CTY TNHH SAMRAN,DANG KINH DOANH,DD
421,3487359,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,DD
422,3487361,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
423,3487363,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,DD
424,3487364,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,DD
425,3487366,12989,100-CTY TNHH SAMRAN,DANG KINH DOANH,DD
426,3487674,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
427,3496126,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),DANG KINH DOANH,DD
428,3496127,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),DANG KINH DOANH,DD
431,3223203,12989,100-CTY TNHH SAMRAN,DANG KINH DOANH,DD
435,3288346,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
444,3372352,16964,100-CTy TNHH Tan Hop Thanh,KHONG KINH DOANH,DD
447,3459152,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,DD
448,3528748,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),KHONG KINH DOANH,DD
449,3528749,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),DANG KINH DOANH,DD
450,3528750,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),DANG KINH DOANH,DD
467,3433469,16964,100-CTy TNHH Tan Hop Thanh,DANG KINH DOANH,DD
468,3513945,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
469,3513947,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,DD
470,3513972,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,DD
479,3524413,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,DD
480,3524414,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,DD
481,3524415,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,DD
482,3524416,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,DD
491,3311633,10985,100-Cty TM&PT Cong Nghe Kolend,DANG KINH DOANH,DD
492,3311748,16964,100-CTy TNHH Tan Hop Thanh,DANG KINH DOANH,DD
493,3312777,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,DD
494,3312779,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
495,3312780,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
500,3458930,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,DD
502,3446423,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,DD
503,3446427,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,DD
505,3081035,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
507,3556424,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
508,3535085,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),DANG KINH DOANH,DD
509,3556030,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,DD
513,3392119,11011,100-CT TNHH SX Do Gia DungElmich-NR,DANG KINH DOANH,DD
514,3392121,11011,100-CT TNHH SX Do Gia DungElmich-NR,DANG KINH DOANH,DD
515,3392948,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
516,3392949,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
517,3392951,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
520,3371132,10985,100-Cty TM&PT Cong Nghe Kolend,DANG KINH DOANH,DD
521,3477798,18833,100-Cong ty CP TD Kim Duc -NR,DANG KINH DOANH,DD
522,3477799,18833,100-Cong ty CP TD Kim Duc -NR,DANG KINH DOANH,DD
523,3477800,18833,100-Cong ty CP TD Kim Duc -NR,DANG KINH DOANH,DD
529,3473447,18833,100-Cong ty CP TD Kim Duc -NR,DANG KINH DOANH,DD
538,3364612,16964,100-CTy TNHH Tan Hop Thanh,KHONG KINH DOANH,DD
