STT,ITEM,VENDOR,DESCR,STATUS
403,3480412,11773,110-CTy CP SX Nhua Duy Tan,
404,3480413,11773,110-CTy CP SX Nhua Duy Tan,
405,3480422,11773,110-CTy CP SX Nhua Duy Tan,
409,3403272,11773,110-CTy CP SX Nhua Duy Tan,
410,3404154,11773,110-CTy CP SX Nhua Duy Tan,
411,3414888,11773,110-CTy CP SX Nhua Duy Tan,
414,3508978,11773,110-CTy CP SX Nhua Duy Tan,
421,3487359,11773,110-CTy CP SX Nhua Duy Tan,
422,3487361,11773,110-CTy CP SX Nhua Duy Tan,
423,3487363,11773,110-CTy CP SX Nhua Duy Tan,
424,3487364,11773,110-CTy CP SX Nhua Duy Tan,
426,3487674,11773,110-CTy CP SX Nhua Duy Tan,
435,3288346,11773,110-CTy CP SX Nhua Duy Tan,
447,3459152,11773,110-CTy CP SX Nhua Duy Tan,
468,3513945,11773,110-CTy CP SX Nhua Duy Tan,
469,3513947,11773,110-CTy CP SX Nhua Duy Tan,
470,3513972,11773,110-CTy CP SX Nhua Duy Tan,
479,3524413,11773,110-CTy CP SX Nhua Duy Tan,
480,3524414,11773,110-CTy CP SX Nhua Duy Tan,
481,3524415,11773,110-CTy CP SX Nhua Duy Tan,
482,3524416,11773,110-CTy CP SX Nhua Duy Tan,
493,3312777,11773,110-CTy CP SX Nhua Duy Tan,
494,3312779,11773,110-CTy CP SX Nhua Duy Tan,
495,3312780,11773,110-CTy CP SX Nhua Duy Tan,
500,3458930,11773,110-CTy CP SX Nhua Duy Tan,
502,3446423,11773,110-CTy CP SX Nhua Duy Tan,
503,3446427,11773,110-CTy CP SX Nhua Duy Tan,
505,3081035,11773,110-CTy CP SX Nhua Duy Tan,
507,3556424,11773,110-CTy CP SX Nhua Duy Tan,
509,3556030,11773,110-CTy CP SX Nhua Duy Tan,
515,3392948,11773,110-CTy CP SX Nhua Duy Tan,
516,3392949,11773,110-CTy CP SX Nhua Duy Tan,
517,3392951,11773,110-CTy CP SX Nhua Duy Tan,
540,3455364,11773,110-CTy CP SX Nhua Duy Tan,
544,3406717,11773,110-CTy CP SX Nhua Duy Tan,
545,3406719,11773,110-CTy CP SX Nhua Duy Tan,
546,3406721,11773,110-CTy CP SX Nhua Duy Tan,
547,3406723,11773,110-CTy CP SX Nhua Duy Tan,
560,3507585,11773,110-CTy CP SX Nhua Duy Tan,
561,3419604,11773,110-CTy CP SX Nhua Duy Tan,
562,3422258,11773,110-CTy CP SX Nhua Duy Tan,
563,3422250,11773,110-CTy CP SX Nhua Duy Tan,
564,3519233,11773,110-CTy CP SX Nhua Duy Tan,
566,3392950,11773,110-CTy CP SX Nhua Duy Tan,
567,3517502,11773,110-CTy CP SX Nhua Duy Tan,
568,3390756,11773,110-CTy CP SX Nhua Duy Tan,
569,3476197,11773,110-CTy CP SX Nhua Duy Tan,
570,3011823,11773,110-CTy CP SX Nhua Duy Tan,
571,3509235,11773,110-CTy CP SX Nhua Duy Tan,
572,3438240,11773,110-CTy CP SX Nhua Duy Tan,
573,3436536,11773,110-CTy CP SX Nhua Duy Tan,
